Title,Authors,Abstract,Published Year,Journal,Volume,Issue,Pages,DOI,Covidence #,Study
A New Approach for Rapidly Assessing the Risk of Aujeszky's Disease Reintroduction into a Disease-free Spanish Territory by Analysing the Movement of Live Pigs and Potential Contacts with Wild Boar,"Vicente-Rubiano, M; Martínez-López, B; Sánchez-Vizcaíno, F; Sánchez-Vizcaíno, JM","Aujeszky's disease (AD) causes significant economic losses in the Spanish pig sector due to import trade restrictions imposed by disease-free countries. Most regions of Spain have achieved 'low AD prevalence' status as a result of an intensive national AD eradication programme involving vaccination and other measures. However, to achieve AD-free status that would eliminate trade restrictions, vaccination must be stopped. For this final stage of eradication, up to date and reliable estimates of the risk of AD reintroduction are essential. Here, we propose an approach based on spatio-temporal scan statistics that the assesses risk of AD reintroduction in a disease-free territory by analysing the two most frequent risk pathways: movement of live domestic pigs and contact with wildlife reservoirs. The approach is illustrated using the case of Navarre, one of the first Spanish regions which plan to stop vaccination. Moreover, direct contacts among pig farms in Navarre were used to evaluate the potential spread of AD in the event of reintroduction. Areas at highest risk of AD reintroduction were in the southern part of the region during the second half of the year through pig movements and in the western and east-central parts of Navarre through contact with wild boars. Northern Navarre, despite having the highest density of pig farms, seems to be at low risk of AD reintroduction. Analysing the network of pig movements within Navarre revealed distinct northern and southern compartments that may be used in preventive compartmentalization strategies to reduce potential risk of AD re-infection in the scenario without vaccination. The approach described here may be extended to other regions and may be useful for guiding risk-based measures that reduce the risk of AD re-infection in a more cost-effective manner. Such analysis in Spain may allow authorities to stop vaccination in the safest possible way.",2014,TRANSBOUNDARY AND EMERGING DISEASES,61,4,350-361,10.1111/tbed.12041,#80,Vicente-Rubiano 2014
Analysis of patterns of livestock movements in the Cattle Corridor of Uganda for risk-based surveillance of infectious diseases,"Hasahya, E; Thakur, K; Dione, MM; Kerfua, SD; Mugezi, I; Lee, HS","IntroductionThe knowledge of animal movements is key to formulating strategic animal disease control policies and carrying out targeted surveillance. This study describes the characteristics of district-level cattle, small ruminant, and pig trade networks in the Cattle Corridor of Uganda between 2019 and 2021. MethodologyThe data for the study was extracted from 7,043 animal movement permits (AMPs) obtained from the Ministry of Agriculture, Animal Industry and Fisheries (MAAIF) of Uganda. Most of the data was on cattle (87.2%), followed by small ruminants (11.2%) and pigs (1.6%). Two types of networks representing animal shipments between districts were created for each species based on monthly (n = 30) and seasonal (n = 10) temporal windows. Measures of centrality and cohesiveness were computed for all the temporal windows and our analysis identified the most central districts in the networks. ResultsThe median in-degree for monthly networks ranged from 0-3 for cattle, 0-1 for small ruminants and 0-1 for pigs. The highest median out-degrees for cattle, small ruminant and pig monthly networks were observed in Lira, Oyam and Butambala districts, respectively. Unlike the pig networks, the cattle and small ruminant networks were found to be of small-world and free-scale topologies. DiscussionThe cattle and small ruminant trade movement networks were also found to be highly connected, which could facilitate quick spread of infectious animal diseases across these networks. The findings from this study highlighted the significance of characterizing animal movement networks to inform surveillance, early detection, and subsequent control of infectious animal disease outbreaks.",2023,FRONTIERS IN VETERINARY SCIENCE,10,,,10.3389/fvets.2023.1095293,#81,Hasahya 2023
Spatio-temporal network analysis of pig trade to inform the design of risk-based disease surveillance,"Cardenas, NC; VanderWaal, K; Veloso, FP; Galvis, JOA; Amaku, M; Grisi, JHH","Network analysis is a powerful tool to describe, estimate, and predict the role of pig trade in the spread of pathogens and generate essential patterns that can be used to understand, prevent, and mitigate possible outbreaks. This study aimed to describe the network between premises such as production herds, slaughterhouses, and traders of pig movements and identify heterogeneities in the connectivity of premises in the state of Santa Catarina, Brazil, using social network analysis (SNA). We used static and temporal network approaches to describe pig trade in the state by quantifying network attributes using SNA parameters, such as causal fidelity, loyalty, the proportion of node-loyalty, resilience of outgoing contact chains, and communities. Two indexes were implemented, the first one is a normalized index based on SNA-farm level measures and other index-based SNA-farm level measures considering the swineherd population size from all premises, both indexes were summarized by a municipality to target and rank surveillance activities. Within Santa Catarina, the southwest region played a key role in that 80 % of trade was concentrated in this region, and thus acted as a hub in the network. Besides, nine communities were found. The results also showed that premises were highly connected in the static network, with the network exhibiting low levels of fragmentation and loyalty. Also, just 11 % of the paths in the static network existed in the temporal network which accounted for the order in which edges occurred. Therefore, the use of time-respecting-paths was essential to not overestimate potential transmission pathways and outbreak sizes. Compared to static networks, the application of temporal network approaches was more suitable to capture the dynamics of pig trade and should be used to inform the design of riskbased disease surveillance.",2021,PREVENTIVE VETERINARY MEDICINE,189,,,10.1016/j.prevetmed.2021.105314,#82,Cardenas 2021
Network analysis of pig movements: Loyalty patterns and contact chains of different holding types in Denmark,"Schulz, J; Boklund, A; Halasa, THB; Toft, N; Lentz, HHK","Understanding animal movements is an important factor for the development of meaningful surveillance and control programs, but also for the development of disease spread models. We analysed the Danish pig movement network using static and temporal network analysis tools to provide deeper insight in the connection between holdings dealing with pigs, such as breeding and multiplier herds, production herds, slaughterhouses or traders. Pig movements, which occurred between 1st January 2006 and 31st December 2015 in Denmark, were summarized to investigate temporal trends such as the number of active holdings, the number of registered movements and the number of pigs moved. To identify holdings and holding types with potentially higher risk for introduction or spread of diseases via pig movements, we determined loyalty patterns, annual network components and contact chains for the 24 registered holding types. The total number of active holdings as well as the number of pig movements decreased during the study period while the holding sizes increased. Around 60-90% of connections between two pig holdings were present in two consecutive years and around one third of the connections persisted within the considered time period. Weaner herds showed the highest level of in-loyalty, whereas we observed an intermediate level of in-loyalty for all breeding sites and for production herds. Boar stations, production herds and trade herds showed a high level of out-loyalty. Production herds constituted the highest proportion of holdings in the largest strongly connected component. All production sites showed low levels of in-going contact chains and we observed a high level of out-going contact chain for breeding and multiplier herds. Except for livestock auctions, all transit sites also showed low levels of out-going contact chains. Our results reflect the pyramidal structure of the underlying network. Based on the considered disease, the time frame for the calculation of network measurements needs to be adapted. Using these adapted values for loyalty and contact chains might help to identify holdings with high potential of spreading diseases and thus limit the outbreak size or support control or eradication of the considered pathogen.",2017,PLOS ONE,12,6,,10.1371/journal.pone.0179915,#83,Schulz 2017
Network analysis of pig movement data as an epidemiological tool: an Austrian case study,"Puspitarani, GA; Fuchs, R; Fuchs, K; Ladinig, A; Desvars-Larrive, A","Animal movements represent a major risk for the spread of infectious diseases in the domestic swine population. In this study, we adopted methods from social network analysis to explore pig trades in Austria. We used a dataset of daily records of swine movements covering the period 2015-2021. We analyzed the topology of the network and its structural changes over time, including seasonal and long-term variations in the pig production activities. Finally, we studied the temporal dynamics of the network community structure. Our findings show that the Austrian pig production was dominated by small-sized farms while spatial farm density was heterogeneous. The network exhibited a scale-free topology but was very sparse, suggesting a moderate impact of infectious disease outbreaks. However, two regions (Upper Austria and Styria) may present a higher structural vulnerability. The network also showed very high assortativity between holdings from the same federal state. Dynamic community detection revealed a stable behavior of the clusters. Yet trade communities did not correspond to sub-national administrative divisions and may be an alternative zoning approach to managing infectious diseases. Knowledge about the topology, contact patterns, and temporal dynamics of the pig trade network can support optimized risk-based disease control and surveillance strategies.",2023,SCIENTIFIC REPORTS,13,1,,10.1038/s41598-023-36596-1,#84,Puspitarani 2023
"Spatio-temporal patterns and movement analysis of pigs from smallholder farms and implications for African swine fever spread, Limpopo province, South Africa","Fasina, FO; Mokoele, JM; Spencer, BT; van Leengoed, LAML; Bevis, Y; Booysen, I","Infectious and zoonotic disease outbreaks have been linked to increasing volumes of legal and illegal trade. Spatio-temporal and trade network analyses have been used to evaluate the risks associated with these challenges elsewhere, but few details are available for the pig sector in South Africa. Regarding pig diseases, Limpopo province is important as the greater part of the province falls within the African swine fever control area. Emerging small-scale pig farmers in Limpopo perceived pig production as an important means of improving their livelihood and an alternative investment. They engage in trading and marketing their products with a potential risk to animal health, because the preferred markets often facilitate potential long-distance spread and disease dispersal over broad geographic areas. In this study, we explored the interconnectedness of smallholder pig farmers in Limpopo, determined the weaknesses and critical control points, and projected interventions that policy makers can implement to reduce the risks to pig health. The geo-coordinates of surveyed farms were used to draw maps, links and networks. Predictive risks to pigs were determined through the analyses of trade networks, and the relationship to previous outbreaks of African swine fever was postulated. Auction points were identified as high-risk areas for the spread of animal diseases. Veterinary authorities should prioritise focused surveillance and diagnostic efforts in Limpopo. Early disease detection and prompt eradication should be targeted and messages promoting enhanced biosecurity to smallholder farmers are advocated. The system may also benefit from the restructuring of marketing and auction networks. Since geographic factors and networks can rapidly facilitate pig disease dispersal over large areas, a multi-disciplinary approach to understanding the complexities that exist around the animal disease epidemiology becomes mandatory.",2015,ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH,82,1,,10.4102/ojvr.v82i1.795,#86,Fasina 2015
Pig traders' networks on the Kenya-Uganda border highlight potential for mitigation of African swine fever virus transmission and improved ASF disease risk management,"Lichoti, JK; Davies, J; Maru, Y; Kitala, PM; Githigia, SM; Okoth, E; Bukachi, SA; Okuthe, S; Bishop, RP","We applied social network analysis to pig trader networks on the Kenya-Uganda border. Social network analysis is a recently developed tool, which is useful for understanding value chains and improving disease control policies. We interviewed a sample of 33 traders about their experiences with trade and African swine fever (ASF), analyzed the networks they generated in purchasing pigs and selling pork and their potential contribution to modulating dissemination of the ASF virus (ASFV). The majority of the traders were aware of clinical signs of ASF and the risk of trade transmitting ASFV. Most said they avoided buying pigs from ASF outbreak villages or sick pigs but their experiences also indicated that inadvertent purchase was relatively common. Traders had early knowledge of outbreaks since they were contacted by farmers who had heard rumours and wanted to sell their pigs to avoid the risk of them dying. Individual traders bought pigs in up to nine villages, and up to six traders operated in a village. Although each trade typically spanned less than 5 km, networks of the various traders, comprising movements of pigs from source villages to slaughter slabs/sites and retail outlets, and movement of pork to villages where it was consumed, linked up indirectly across the 100 km x 50 km study area and revealed several trade pathways across the Kenya-Uganda border. ASF could potentially spread across this area and beyond through sequential pig and pork transactions.Regulation of the pig and pork trade was minimal in practice. The risk of ASFV being spread by traders was compounded by their use of poorly constructed slaughter slabs/sites with open drainage, ineffective or non-existent meat inspection services, lack of provision for biosecurity in the value chain, and sales of pork to customers who were unaware of the risks to their own pigs from contact with ASF infected pork. More effective regulation is warranted. However, limitations on government capacity, together with the strong self-interest that established traders have in reducing the disruption and financial losses that outbreaks cause, highlight the importance of governments and traders co-developing an approach to ASF control. Formation of trader organizations or common interest groups warrants government support as an important step in engaging traders in developing and implementing effective approaches to reduce the risk of ASF outbreaks. (C) 2017 Elsevier B.V. All rights reserved.",2017,PREVENTIVE VETERINARY MEDICINE,140,,87-96,10.1016/j.prevetmed.2017.03.005,#87,Lichoti 2017
Spatial and Functional Organization of Pig Trade in Different European Production Systems: Implication for Disease Prevention and Control,"Relun, A; Grosbois, V; Sánchez-Vizcaino, JM; Alexandrov, T; Feliziani, F; Waret-Szkuta, A; Molia, S; Etter, EMC; Martínez-López, B","Understanding the complexity of live pig trade organization is a key factor to predict and control major infectious diseases, such as classical swine fever (CSF) or African swine fever (ASF). Whereas the organization of pig trade has been described in several European countries with indoor commercial production systems, little information is available on this organization in other systems, such as outdoor or small-scale systems. The objective of this study was to describe and compare the spatial and functional organization of live pig trade in different European countries and different production systems. Data on premise characteristics and pig movements between premises were collected during 2011 from Bulgaria, France, Italy, and Spain, which swine industry is representative of most of the production systems in Europe (i.e., commercial vs. small-scale and outdoor vs. indoor). Trade communities were identified in each country using the Walktrap algorithm. Several descriptive and network metrics were generated at country and community levels. Pig trade organization showed heterogeneous spatial and functional organization. Trade communities mostly composed of indoor commercial premises were identified in western France, northern Italy, northern Spain, and north-western Bulgaria. They covered large distances, overlapped in space, demonstrated both scale-free and small-world properties, with a role of trade operators and multipliers as key premises. Trade communities involving outdoor commercial premises were identified in western Spain, south-western and central France. They were more spatially clustered, demonstrated scalefree properties, with multipliers as key premises. Small-scale communities involved the majority of premises in Bulgaria and in central and Southern Italy. They were spatially clustered and had scale-free properties, with key premises usually being commercial production premises. These results indicate that a disease might spread very differently according to the production system and that key premises could be targeted to more cost-effectively control diseases. This study provides useful epidemiological information and parameters that could be used to design risk-based surveillance strategies or to more accurately model the risk of introduction or spread of devastating swine diseases, such as ASF, CSF, or foot-and-mouth disease.",2016,FRONTIERS IN VETERINARY SCIENCE,3,,,10.3389/fvets.2016.00004,#89,Relun 2016
Exploring pig trade patterns to inform the design of risk-based disease surveillance and control strategies,"Guinat, C; Relun, A; Wall, B; Morris, A; Dixon, L; Pfeiffer, DU","An understanding of the patterns of animal contact networks provides essential information for the design of risk-based animal disease surveillance and control strategies. This study characterises pig movements throughout England and Wales between 2009 and 2013 with a view to characterising spatial and temporal patterns, network topology and trade communities. Data were extracted from the Animal and Plant Health Agency (APHA)'s RADAR (Rapid Analysis and Detection of Animal-related Risks) database, and analysed using descriptive and network approaches. A total of 61,937,855 pigs were moved through 872,493 movements of batches in England and Wales during the 5-year study period. Results show that the network exhibited scale-free and small-world topologies, indicating the potential for diseases to quickly spread within the pig industry. The findings also provide suggestions for how risk-based surveillance strategies could be optimised in the country by taking account of highly connected holdings, geographical regions and time periods with the greatest number of movements and pigs moved, as these are likely to be at higher risk for disease introduction. This study is also the first attempt to identify trade communities in the country, information which could be used to facilitate the pig trade and maintain disease-free status across the country in the event of an outbreak.",2016,SCIENTIFIC REPORTS,6,,,10.1038/srep28429,#90,Guinat 2016
Network analysis of live pig movements in North Macedonia: Pathways for disease spread,"O'Hara, KC; Beltrán-Alcrudo, D; Hovari, M; Tabakovski, B; Martínez-López, B","Globalization of trade, and the interconnectivity of animal production systems, continues to challenge efforts to control disease. A better understanding of trade networks supports development of more effective strategies for mitigation for transboundary diseases like African swine fever (ASF), classical swine fever (CSF), and foot-and-mouth disease (FMD). North Macedonia, bordered to the north and east by countries with ongoing ASF outbreaks, recently reported its first incursion of ASF. This study aimed to describe the distribution of pigs and pig farms in North Macedonia, and to characterize the live pig movement network. Network analyses on movement data from 2017 to 2019 were performed for each year separately, and consistently described weakly connected components with a few primary hubs that most nodes shipped to. In 2019, the network demonstrated a marked decrease in betweenness and increase in communities. Most shipments occurred within 50 km, with movements <6 km being the most common (22.5%). Nodes with the highest indegree and outdegree were consistent across years, despite a large turnover among smallholder farms. Movements to slaughterhouses predominated (85.6%), with movements between farms (5.4%) and movements to market (5.8%) playing a lesser role. This description of North Macedonia's live pig movement network should enable implementation of more efficient and cost-effective mitigation efforts strategies in country, and inform targeted educational outreach, and provide data for future disease modeling, in the region.",2022,FRONTIERS IN VETERINARY SCIENCE,9,,,10.3389/fvets.2022.922412,#92,O'Hara 2022
"Pig trade networks through live pig markets in Guangdong Province, China","Li, Y; Huang, BX; Shen, CJ; Cai, C; Wang, YM; Edwards, J; Zhang, GH; Robertson, ID","This study used social network analysis to investigate the indirect contact network between counties through the movement of live pigs through four wholesale live pig markets in Guangdong Province, China. All 14,118 trade records for January and June 2016 were collected from the markets and the patterns of pig trade in these markets analysed. Maps were developed to show the movement pathways. Evaluating the network between source counties was the primary objective of this study. A 1-mode network was developed. Characteristics of the trading network were explored, and the degree, betweenness and closeness were calculated for each source county. Models were developed to compare the impacts of different disease control strategies on the potential magnitude of an epidemic spreading through this network. The results show that pigs from 151 counties were delivered to the four wholesale live pig markets in January and/or June 2016. More batches (truckloads of pigs sourced from one or more piggeries) were traded in these markets in January (8,001) than in June 2016 (6,117). The pigs were predominantly sourced from counties inside Guangdong Province (90%), along with counties in Hunan, Guangxi, Jiangxi, Fujian and Henan provinces. The major source counties (46 in total) contributed 94% of the total batches during the two-month study period. Pigs were sourced from piggeries located 10 to 1,417 km from the markets. The distribution of the nodes' degrees in both January and June indicates a free-scale network property, and the network in January had a higher clustering coefficient (0.54 vs. 0.39) and a shorter average pathway length (1.91 vs. 2.06) than that in June. The most connected counties of the network were in the central, northern and western regions of Guangdong Province. Compared with randomly removing counties from the network, eliminating counties with higher betweenness, degree or closeness resulted in a greater reduction of the magnitude of a potential epidemic. The findings of this study can be used to inform targeted control interventions for disease spread through this live pig market trade network in south China.",2020,TRANSBOUNDARY AND EMERGING DISEASES,67,3,1315-1329,10.1111/tbed.13472,#94,Li 2020
